country,year,variety,grape_color,variety_area_ha,grape_yield_tonnes_per_ha,estimated_variety_production_tons,world
Argentina,2010,Lambrusco Maestri,red,88.8729,11.3,1004.26377,New World
Argentina,2010,Listán Prieto,red,844.8638,11.3,9546.96094,New World
Argentina,2010,Macabeo,white,1.75,11.3,19.775,New World
Argentina,2010,Malvasia,white,45.0382,11.3,508.9316600000001,New World
Argentina,2010,Malvasia Nera di Brindisi,red,0.32,11.3,3.616,New World
Argentina,2010,Marsanne,white,1.2465000000000002,11.3,14.085450000000003,New World
Argentina,2010,Marselan,red,7.95,11.3,89.83500000000001,New World
Argentina,2010,Maticha,white,311.1298,11.3,3515.76674,New World
Argentina,2010,Mazuelo,red,30.4391,11.3,343.96183,New World
Argentina,2010,Melon,white,1.0,11.3,11.3,New World
Argentina,2010,Merlot,red,6952.828399999999,11.3,78566.96092,New World
Argentina,2010,Molinara,red,0.6,11.3,6.78,New World
Argentina,2010,Monastrell,red,0.7462,11.3,8.43206,New World
Argentina,2010,Montepulciano,red,94.1726,11.3,1064.15038,New World
Argentina,2010,Moscato Giallo,white,155.6004,11.3,1758.2845200000002,New World
Argentina,2010,Muscat Blanc à Petits Grains,white,139.4793,11.3,1576.11609,New World
Argentina,2010,Muscat Blanc à Petits Grains (G),white,8691.4622,11.3,98213.52286,New World
Argentina,2010,Muscat of Alexandria,white,4035.4128,11.3,45600.16464,New World
Argentina,2010,Muscat of Hamburg,red,1.9843,11.3,22.42259,New World
Argentina,2010,Nebbiolo,red,180.4918,11.3,2039.5573400000003,New World
Argentina,2010,Nero d'Avola,red,3.827,11.3,43.2451,New World
Argentina,2010,Palomino Fino,white,162.66989999999998,11.3,1838.16987,New World
Argentina,2010,Patagonia,white,39.5238,11.3,446.61894000000007,New World
Argentina,2010,Patrizia Rosa,grey_or_gris,152.274,11.3,1720.6962,New World
Argentina,2010,Pedro Giménez,white,13384.2726,11.3,151242.28038,New World
Argentina,2010,Petit Manseng,white,5.548,11.3,62.692400000000006,New World
Argentina,2010,Petit Verdot,red,458.8034,11.3,5184.47842,New World
Argentina,2010,Pinot Blanc,white,27.2485,11.3,307.90805,New World
Argentina,2010,Pinot Gris,grey_or_gris,386.2326,11.3,4364.42838,New World
Argentina,2010,Pinot Meunier,red,11.48,11.3,129.72400000000002,New World
Argentina,2010,Pinot Noir,red,1689.2012,11.3,19087.97356,New World
Argentina,2010,Prosecco,white,9.62,11.3,108.706,New World
Argentina,2010,Raboso Piave,red,48.5199,11.3,548.2748700000001,New World
Argentina,2010,Rieslina,white,174.4497,11.3,1971.28161,New World
Argentina,2010,Riesling,white,110.1394,11.3,1244.57522,New World
Argentina,2010,Rondinella,red,0.5,11.3,5.65,New World
Argentina,2010,Ruby Cabernet,red,4.8354,11.3,54.64002,New World
Argentina,2010,Saint Jeannet,white,55.5048,11.3,627.20424,New World
Argentina,2010,Sangiovese,red,2230.881,11.3,25208.9553,New World
Argentina,2010,Sauvignon Blanc,white,2297.2024,11.3,25958.387120000003,New World
Argentina,2010,Sauvignon Blanc (G),white,5.52,11.3,62.376,New World
Argentina,2010,Sauvignonasse,white,628.8566000000001,11.3,7106.079580000001,New World
Argentina,2010,Savagnin Blanc,white,20.8843,11.3,235.99259,New World
Argentina,2010,Serna,grey_or_gris,36.1021,11.3,407.95373,New World
Argentina,2010,Silvaner,white,9.8609,11.3,111.42817000000002,New World
Argentina,2010,Syrah,red,13093.1126,11.3,147952.17238,New World
